9	249	28350
9	215	33725
9	225	11372
9	226	19550
9	211	1573
9	202	75720
9	184	1425
9	170	69300
9	159	27280
9	147	8110
9	144	29290
9	137	1334
9	114	9000
9	105	108
9	59	45690
9	58	3147
9	46	4070
9	44	172887
9	40	16339
9	21	3444210
9	19	14337
9	255	544
10	249	936543
10	237	1339904
10	236	4875
10	215	186751
10	225	285330
10	216	478288
10	206	627151
10	38	122129
10	202	80993
10	25	14344
10	194	121009
10	117	956792
10	171	158346
10	165	338
10	221	148548
10	159	355
10	156	286793
10	153	31711
10	28	205036
10	144	115355
10	143	44300
10	137	57360
10	134	25
10	131	809566
10	130	16000
10	121	3901
10	118	288408
10	110	1074399
10	106	189129
10	103	246747
10	102	61357
10	101	3706817
10	100	313417
10	66	153676
10	238	2437
10	59	592715
10	72	2325
10	351	1013961
10	115	22610
10	255	44
10	16	813791
10	4	33000
11	225	31.07794043
11	226	0
11	223	2.663823465
11	154	1331.911733
11	211	37937.28585
11	203	6.215588085
11	202	0
11	198	7114.184534
11	150	12948.84586
11	134	0
11	256	0.887941155
11	106	442847.332
11	104	248.6235234
11	84	11005.14268
11	53	0
11	255	1164.090854
11	1	0
27	249	2077
27	237	51688
27	223	4948
27	222	15956
27	154	973
27	203	744258
27	117	226629
27	174	91087
27	171	25014
27	150	7209
27	143	6500
27	131	1705
27	121	4294
27	106	313480
27	105	33174
27	84	132721
27	238	137626
27	59	13846
27	72	50185
27	50	10155
27	255	35
27	16	104992
27	3	49
33	237	1245
33	236	876753
33	215	37500
33	225	199551
33	222	77273
33	220	11
33	217	23001
33	216	137457
33	211	24076
33	206	386690
33	38	1003367
33	203	28502
33	202	180684
33	195	32411
33	194	606085
33	117	853896
33	174	21538
33	171	352195
33	170	778018
33	221	21315
33	162	168
33	159	202221
33	156	1462
33	150	33060
33	147	8101
33	144	15001
33	143	529640
33	141	27
33	138	871869
33	131	135318
33	110	1082594
33	109	184396
33	106	1074060
33	103	670247
33	101	734564
33	91	47153
33	81	339856
33	59	252003
33	58	372669
33	56	18436
33	49	218161
33	107	16002
33	48	44227
33	44	519883
33	351	312618
33	40	163667
33	32	70828
33	21	376123
33	255	229918
33	16	1129061
33	4	501826
54	216	54000
54	203	83179
54	117	102978
54	174	35328
54	171	71493
54	162	25857
54	150	279110
54	106	5672
54	104	38906
54	99	14066
54	255	47512
63	203	6160
63	150	18832
63	114	27496
63	104	107
67	203	40541
67	162	980
67	150	4019
67	143	6000
67	256	2
67	106	6050
67	104	3350
67	99	16
67	255	2
68	249	525205.8073
68	237	376.3374604
68	223	73.45016833
68	222	215277.1429
68	217	27661.93917
68	216	49976.4032
68	211	66195.26047
68	203	717835.3101
68	198	21.95932868
68	195	294892.582
68	194	0.75721823
68	174	484348.5832
68	159	151553.4427
68	156	2.271654691
68	153	17.4160193
68	150	1240053.134
68	143	1550274.842
68	138	20444.89222
68	137	99271.30998
68	136	254929.6327
68	134	10935.74568
68	133	75490.11424
68	131	783.7208683
68	256	42389.07653
68	121	2.271654691
68	110	3243.922898
68	106	1575514.44
68	105	32756.50342
68	104	21469.40848
68	99	371.0369328
68	90	21770.02412
68	84	135239.9331
68	81	54663.58404
68	74	67834.63794
68	59	1636422.046
68	56	0
68	50	66345.9469
68	49	224387.9926
68	107	408067.1759
68	46	49938.54228
68	32	225406.4511
68	35	14652.17275
68	233	37009.041
68	21	32.5603839
68	53	6496.932415
68	255	1299545.499
68	1	2267.8686
68	4	3163272.342
68	3	37218.79045
68	2	246.8531431
79	181	19000
79	249	135894
79	215	74777
79	225	200661
79	226	14000
79	223	124274
79	217	9000
79	211	112243
79	206	471075
79	203	162929
79	202	679960
79	198	5847
